source,text,label_0,score_0,label_1,score_1,label_2,score_2,label_3,score_3,label_4,score_4,label_5,score_5,label_6,score_6
data/babylm_data/babylm_100M/aochildes.train,just like your book at home .,neutral,0.8962771892547607,surprise,0.0412491038441658,joy,0.02286073938012123,sadness,0.014631594531238079,anger,0.011334381997585297,disgust,0.007524552289396524,fear,0.006122401915490627
data/babylm_data/babylm_100M/aochildes.train,do you want to look at that it says look ?,neutral,0.8023498058319092,surprise,0.12513147294521332,anger,0.029366828501224518,disgust,0.01586168259382248,fear,0.011594660580158234,sadness,0.010417475365102291,joy,0.005278133787214756
data/babylm_data/babylm_100M/aochildes.train,see .,neutral,0.8315770030021667,surprise,0.058174777776002884,sadness,0.05596216022968292,joy,0.023108642548322678,anger,0.018605973571538925,disgust,0.008747575804591179,fear,0.003823880571871996
data/babylm_data/babylm_100M/aochildes.train,there's a face with glasses .,surprise,0.31544506549835205,neutral,0.3085640072822571,disgust,0.2865501940250397,sadness,0.04962965473532677,fear,0.023006025701761246,anger,0.01280179526656866,joy,0.004003198351711035
data/babylm_data/babylm_100M/aochildes.train,aha .,neutral,0.8255769610404968,surprise,0.07952277362346649,sadness,0.05668343976140022,joy,0.02013084851205349,anger,0.007736728526651859,disgust,0.007543246261775494,fear,0.0028060446493327618
data/babylm_data/babylm_100M/aochildes.train,look there's pooh bear .,surprise,0.8070628643035889,neutral,0.07307928055524826,joy,0.07223645597696304,sadness,0.029720550402998924,anger,0.008321459405124187,disgust,0.004993267823010683,fear,0.0045860931277275085
data/babylm_data/babylm_100M/aochildes.train,there's a baby bear with his bottle .,neutral,0.6353990435600281,surprise,0.15699635446071625,disgust,0.13669279217720032,sadness,0.03247791528701782,joy,0.0168805830180645,anger,0.011530468240380287,fear,0.010022896341979504
data/babylm_data/babylm_100M/aochildes.train,who's that ?,surprise,0.8914834856987,neutral,0.08126822113990784,anger,0.010802402161061764,disgust,0.006016675382852554,sadness,0.004467931110411882,joy,0.0036535358522087336,fear,0.0023078047670423985
data/babylm_data/babylm_100M/aochildes.train,is that child .,neutral,0.5907761454582214,surprise,0.3636532425880432,sadness,0.02135671116411686,anger,0.008848294615745544,disgust,0.006223935633897781,joy,0.004815754014998674,fear,0.00432590302079916
data/babylm_data/babylm_100M/aochildes.train,aha i think i see child .,surprise,0.5541467070579529,joy,0.2840871214866638,neutral,0.14095430076122284,sadness,0.01288827694952488,anger,0.004733595065772533,disgust,0.0018263660604134202,fear,0.001363634946756065
data/babylm_data/babylm_100M/aochildes.train,there he is .,neutral,0.8349815011024475,surprise,0.1170017197728157,sadness,0.015073000453412533,anger,0.010362827219069004,disgust,0.008438628166913986,joy,0.007172553800046444,fear,0.006969877518713474
data/babylm_data/babylm_100M/aochildes.train,there he is .,neutral,0.8349815011024475,surprise,0.1170017197728157,sadness,0.015073000453412533,anger,0.010362827219069004,disgust,0.008438628166913986,joy,0.007172553800046444,fear,0.006969877518713474
